Card ID,Card Name,Expansion,Collection No.,Stage (Pokémon)/Type (Energy and Trainer),Rule,Category,Previous stage,HP,Type,Weakness,Resistance (Type),Retreat,Move Name,Cost,Damage,Effect Explanation
1,Basic {G} Energy,SVE,1,Basic Energy,n/a,n/a,n/a,n/a,{G},,,n/a,,n/a,n/a,
2,Basic {R} Energy,SVE,2,Basic Energy,n/a,n/a,n/a,n/a,{R},,,n/a,,n/a,n/a,
3,Basic {W} Energy,SVE,3,Basic Energy,n/a,n/a,n/a,n/a,{W},,,n/a,,n/a,n/a,
4,Basic {L} Energy,SVE,4,Basic Energy,n/a,n/a,n/a,n/a,{L},,,n/a,,n/a,n/a,
5,Basic {P} Energy,SVE,5,Basic Energy,n/a,n/a,n/a,n/a,{P},,,n/a,,n/a,n/a,
6,Basic {F} Energy,SVE,6,Basic Energy,n/a,n/a,n/a,n/a,{F},,,n/a,,n/a,n/a,
7,Basic {D} Energy,SVE,7,Basic Energy,n/a,n/a,n/a,n/a,{D},,,n/a,,n/a,n/a,
8,Basic {M} Energy,SVE,8,Basic Energy,n/a,n/a,n/a,n/a,{M},,,n/a,,n/a,n/a,
9,Boomerang Energy,TWM,166,Special Energy,n/a,n/a,n/a,n/a,{C},,,n/a,n/a,n/a,n/a,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is discarded by an effect of an attack used by the Pokémon this card is attached to, attach this card from your discard pile to that Pokémon after attacking."
10,Neo Upper Energy,TEF,162,Special Energy,ACE SPEC,n/a,n/a,n/a,{A}{A},,,n/a,n/a,n/a,n/a,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is attached to a Stage 2 Pokémon, this card provides every type of Energy but provides only 2 Energy at a time."
11,Mist Energy,TEF,161,Special Energy,n/a,n/a,n/a,n/a,{C},,,n/a,n/a,n/a,n/a,"As long as this card is attached to a Pokémon, it provides {C} Energy.

Prevent all effects of attacks used by your opponent’s Pokémon done to the Pokémon this card is attached to. (Existing effects are not removed. Damage is not an effect.)"
12,Legacy Energy,TWM,167,Special Energy,ACE SPEC,n/a,n/a,n/a,{A},,,n/a,n/a,n/a,n/a,"As long as this card is attached to a Pokémon, it provides every type of Energy but provides only 1 Energy at a time.

If the Pokémon this card is attached to is Knocked Out by damage from an attack from your opponent’s Pokémon, that player takes 1 fewer Prize card. This effect of your Legacy Energy only works once per game."
13,Enriching Energy,SSP,191,Special Energy,ACE SPEC,n/a,n/a,n/a,{C},,,n/a,n/a,n/a,n/a,"As long as this card is attached to a Pokémon, it provides {C} Energy.

When you attach this card from your hand to a Pokémon, draw 4 cards."
14,Spiky Energy,JTG,159,Special Energy,n/a,n/a,n/a,n/a,{C},,,n/a,n/a,n/a,n/a,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If the Pokémon this card is attached to is in the Active Spot and is damaged by an attack from your opponent’s Pokémon (even if this Pokémon is Knocked Out), put 2 damage counters on the Attacking Pokémon."
15,Team Rocket's Energy,DRI,182,Special Energy,n/a,n/a,n/a,n/a,{Team Rocket}{Team Rocket},,,n/a,n/a,n/a,n/a,"This card can only be attached to a Team Rocket’s Pokémon. If this card is attached to anything other than a Team Rocket’s Pokémon, discard this card.

As long as this card is attached to a Pokémon, it provides 2 in any combination of {P} Energy and {D} Energy."
16,Prism Energy,BLK,86,Special Energy,n/a,n/a,n/a,n/a,{A},,,n/a,n/a,n/a,n/a,"As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is attached to a Basic Pokémon, this card provides every type of Energy but provides only 1 Energy at a time."
17,Ignition Energy,WHT,86,Special Energy,n/a,n/a,n/a,n/a,{C}{C}{C},,,n/a,n/a,n/a,n/a,"If this card is attached to 1 of your Pokémon, discard it at the end of your turn.

As long as this card is attached to a Pokémon, it provides {C} Energy.

If this card is attached to an Evolution Pokémon, it provides {C}{C}{C} Energy instead."
18,Grow Grass Energy,POR,86,Special Energy,n/a,n/a,n/a,n/a,{G},,,n/a,n/a,n/a,n/a,"As long as this card is attached to a Pokémon, it provides {G} Energy.
The {G} Pokémon this card is attached to gets +20 HP."
19,Telepath Psychic Energy,POR,87,Special Energy,n/a,n/a,n/a,n/a,{P},,,n/a,n/a,n/a,n/a,"As long as this card is attached to a Pokémon, it provides {P} Energy.
When you attach this card from your hand to a {P} Pokémon, search your deck for up to 2 Basic {P} Pokémon and put them onto your Bench. Then, shuffle your deck."
20,Rock Fighting Energy,POR,88,Special Energy,n/a,n/a,n/a,n/a,{F},,,n/a,n/a,n/a,n/a,"As long as this card is attached to a Pokémon, it provides {F} Energy.
Prevent all effects of attacks used by your opponent’s Pokémon done to the {F} Pokémon this card is attached to. (Existing effects are not removed. Damage is not an effect.)"
21,Scrafty,PROMO,188,Stage 1 Pokémon,n/a,n/a,Scraggy,120,{D},{G},n/a,1,Nab ’n’ Dash,●,n/a,"Search your deck for a number of cards up to the number of your Benched Pokémon and put them into your hand. Then, shuffle your deck."
21,Scrafty,PROMO,188,Stage 1 Pokémon,n/a,n/a,Scraggy,120,{D},{G},n/a,1,High Jump Kick,{D}●●,100,n/a
