カード ID,カード名,エキスパンションマーク,コレクション番号,ポケモンの進化の段階/エネルギー・トレーナーズの種類,ルール,カテゴリ,進化前,HP,タイプ,弱点,抵抗力,にげる,ワザ名,コスト,ダメージ,効果の説明
1,基本【草】エネルギー,n/a,GRA,基本エネルギー,n/a,n/a,n/a,n/a,草,,,n/a,n/a,n/a,n/a,
2,基本【炎】エネルギー,n/a,FIR,基本エネルギー,n/a,n/a,n/a,n/a,炎,,,n/a,n/a,n/a,n/a,
3,基本【水】エネルギー,n/a,WAT,基本エネルギー,n/a,n/a,n/a,n/a,水,,,n/a,n/a,n/a,n/a,
4,基本【雷】エネルギー,n/a,LIG,基本エネルギー,n/a,n/a,n/a,n/a,雷,,,n/a,n/a,n/a,n/a,
5,基本【超】エネルギー,n/a,PSY,基本エネルギー,n/a,n/a,n/a,n/a,超,,,n/a,n/a,n/a,n/a,
6,基本【闘】エネルギー,n/a,FIG,基本エネルギー,n/a,n/a,n/a,n/a,闘,,,n/a,n/a,n/a,n/a,
7,基本【悪】エネルギー,n/a,DAR,基本エネルギー,n/a,n/a,n/a,n/a,悪,,,n/a,n/a,n/a,n/a,
8,基本【鋼】エネルギー,n/a,MET,基本エネルギー,n/a,n/a,n/a,n/a,鋼,,,n/a,n/a,n/a,n/a,
9,ブーメランエネルギー,MC,738/742,特殊エネルギー,n/a,n/a,n/a,n/a,無,,,n/a,n/a,n/a,n/a,"このカードは、ポケモンについているかぎり、【無】エネルギー1個ぶんとしてはたらく。

このカードをつけているポケモンが使うワザの効果で、このカードがトラッシュされたなら、ワザのダメージや効果のあとに、もとのポケモンにつけなおす。"
10,ネオアッパーエネルギー,SV5K,071/071,特殊エネルギー,ACE SPEC,n/a,n/a,n/a,虹虹,,,n/a,n/a,n/a,n/a,"このカードは、ポケモンについているかぎり、【無】エネルギー1個ぶんとしてはたらく。

【2進化】ポケモンについているなら、すべてのタイプのエネルギー2個ぶんとしてはたらく。"
11,ミストエネルギー,SVN,043/045,特殊エネルギー,n/a,n/a,n/a,n/a,無,,,n/a,n/a,n/a,n/a,"このカードは、ポケモンについているかぎり、【無】エネルギー1個ぶんとしてはたらく。

このカードをつけているポケモンは、相手のポケモンが使うワザの効果を受けない。（すでに受けている効果は、なくならない。）"
12,レガシーエネルギー,MC,741/742,特殊エネルギー,ACE SPEC,n/a,n/a,n/a,虹,,,n/a,n/a,n/a,n/a,"このカードは、ポケモンについているかぎり、すべてのタイプのエネルギー1個ぶんとしてはたらく。
 
このカードをつけているポケモンが、相手のポケモンからワザのダメージを受けて【きぜつ】したとき、とられるサイドは1枚少なくなる。対戦中、自分の「レガシーエネルギー」のこの効果は、1回しかはたらかない。"
13,リッチエネルギー,MC,740/742,特殊エネルギー,ACE SPEC,n/a,n/a,n/a,無,,,n/a,n/a,n/a,n/a,"このカードは、ポケモンについているかぎり、【無】エネルギー1個ぶんとしてはたらく。 

このカードを手札からポケモンにつけたとき、自分の山札を4枚引く。"
14,スパイクエネルギー,MC,737/742,特殊エネルギー,n/a,n/a,n/a,n/a,無,,,n/a,n/a,n/a,n/a,"このカードは、ポケモンについているかぎり、【無】エネルギー1個ぶんとしてはたらく。

このカードをつけているポケモンが、バトル場で相手のポケモンからワザのダメージを受けたとき、ワザを使ったポケモンにダメカンを2個のせる。"
15,ロケット団エネルギー,MC,742/742,特殊エネルギー,n/a,n/a,n/a,n/a,【ロケット団】【ロケット団】,,,n/a,n/a,n/a,n/a,"このカードは「ロケット団のポケモン」にしかつけられず、「ロケット団のポケモン」以外についているなら、トラッシュする。

このカードは、ポケモンについているかぎり、【超】【悪】の2つのタイプのエネルギー2個ぶんとしてはたらく。"
16,プリズムエネルギー,MC,739/742,特殊エネルギー,n/a,n/a,n/a,n/a,虹,,,n/a,n/a,n/a,n/a,"このカードは、ポケモンについているかぎり、【無】エネルギー1個ぶんとしてはたらく。

【たね】ポケモンについているなら、すべてのタイプのエネルギー1個ぶんとしてはたらく。"
17,イグニッションエネルギー,MC,736/742,特殊エネルギー,n/a,n/a,n/a,n/a,無無無,,,n/a,n/a,n/a,n/a,"ポケモンについているこのカードは、自分の番の終わりにトラッシュする。

このカードは、ポケモンについているかぎり、【無】エネルギー1個ぶんとしてはたらく。

進化ポケモンについているなら、【無】エネルギー3個ぶんとしてはたらく。"
18,グロウ【草】エネルギー,M3,078/080,特殊エネルギー,n/a,n/a,n/a,n/a,草,,,n/a,n/a,n/a,n/a,"このカードは、ポケモンについているかぎり、【草】エネルギー1個ぶんとしてはたらく。

このカードをつけている【草】ポケモンは、最大HPが「+20」される。"
