card_id,name_jp,name_en,category,stage,evolves_from,hp,type,weakness,resistance,retreat,ex,mega_ex,ace_spec,tera,basic,ability_name,ability_text,max_attack_damage,best_damage_per_energy,deck_usage_count,total_copies,avg_copies_when_used,is_staple,expansion,collection_no,in_engine,attack1_name,attack1_cost,attack1_damage,attack1_effect,attack2_name,attack2_cost,attack2_damage,attack2_effect,attack3_name,attack3_cost,attack3_damage,attack3_effect
1,基本【草】エネルギー,Basic {G} Energy,基本エネルギー,基本エネルギー,,,草,,,,0,0,0,0,0,,,0,0.0,7,101,14.4,0,,GRA,1,,,,,,,,,,,,
2,基本【炎】エネルギー,Basic {R} Energy,基本エネルギー,基本エネルギー,,,炎,,,,0,0,0,0,0,,,0,0.0,6,62,10.3,0,,FIR,1,,,,,,,,,,,,
3,基本【水】エネルギー,Basic {W} Energy,基本エネルギー,基本エネルギー,,,水,,,,0,0,0,0,0,,,0,0.0,7,204,29.1,0,,WAT,1,,,,,,,,,,,,
4,基本【雷】エネルギー,Basic {L} Energy,基本エネルギー,基本エネルギー,,,雷,,,,0,0,0,0,0,,,0,0.0,2,26,13.0,0,,LIG,1,,,,,,,,,,,,
5,基本【超】エネルギー,Basic {P} Energy,基本エネルギー,基本エネルギー,,,超,,,,0,0,0,0,0,,,0,0.0,5,18,3.6,0,,PSY,1,,,,,,,,,,,,
6,基本【闘】エネルギー,Basic {F} Energy,基本エネルギー,基本エネルギー,,,闘,,,,0,0,0,0,0,,,0,0.0,19,237,12.5,1,,FIG,1,,,,,,,,,,,,
7,基本【悪】エネルギー,Basic {D} Energy,基本エネルギー,基本エネルギー,,,悪,,,,0,0,0,0,0,,,0,0.0,1,3,3.0,0,,DAR,1,,,,,,,,,,,,
8,基本【鋼】エネルギー,Basic {M} Energy,基本エネルギー,基本エネルギー,,,鋼,,,,0,0,0,0,0,,,0,0.0,0,0,0,0,,MET,1,,,,,,,,,,,,
9,ブーメランエネルギー,Boomerang Energy,特殊エネルギー,特殊エネルギー,,,無,,,,0,0,0,0,0,,,0,0.0,0,0,0,0,MC,738/742,1,,,,,,,,,,,,
10,ネオアッパーエネルギー,Neo Upper Energy,特殊エネルギー,特殊エネルギー,,,虹虹,,,,0,0,1,0,0,,,0,0.0,0,0,0,0,SV5K,071/071,1,,,,,,,,,,,,
11,ミストエネルギー,Mist Energy,特殊エネルギー,特殊エネルギー,,,無,,,,0,0,0,0,0,,,0,0.0,5,19,3.8,0,SVN,043/045,1,,,,,,,,,,,,
12,レガシーエネルギー,Legacy Energy,特殊エネルギー,特殊エネルギー,,,虹,,,,0,0,1,0,0,,,0,0.0,0,0,0,0,MC,741/742,1,,,,,,,,,,,,
13,リッチエネルギー,Enriching Energy,特殊エネルギー,特殊エネルギー,,,無,,,,0,0,1,0,0,,,0,0.0,0,0,0,0,MC,740/742,1,,,,,,,,,,,,
14,スパイクエネルギー,Spiky Energy,特殊エネルギー,特殊エネルギー,,,無,,,,0,0,0,0,0,,,0,0.0,4,16,4.0,0,MC,737/742,1,,,,,,,,,,,,
15,ロケット団エネルギー,Team Rocket's Energy,特殊エネルギー,特殊エネルギー,,,【ロケット団】【ロケット団】,,,,0,0,0,0,0,,,0,0.0,0,0,0,0,MC,742/742,1,,,,,,,,,,,,
16,プリズムエネルギー,Prism Energy,特殊エネルギー,特殊エネルギー,,,虹,,,,0,0,0,0,0,,,0,0.0,0,0,0,0,MC,739/742,1,,,,,,,,,,,,
17,イグニッションエネルギー,Ignition Energy,特殊エネルギー,特殊エネルギー,,,無無無,,,,0,0,0,0,0,,,0,0.0,0,0,0,0,MC,736/742,1,,,,,,,,,,,,
18,グロウ【草】エネルギー,Grow Grass Energy,特殊エネルギー,特殊エネルギー,,,草,,,,0,0,0,0,0,,,0,0.0,4,16,4.0,0,M3,078/080,1,,,,,,,,,,,,
19,テレパス【超】エネルギー,Telepath Psychic Energy,特殊エネルギー,特殊エネルギー,,,超,,,,0,0,0,0,0,,,0,0.0,0,0,0,0,M3,079/080,1,,,,,,,,,,,,
20,ロック【闘】エネルギー,Rock Fighting Energy,特殊エネルギー,特殊エネルギー,,,闘,,,,0,0,0,0,0,,,0,0.0,0,0,0,0,M3,080/080,1,,,,,,,,,,,,
21,ズルズキン,Scrafty,ポケモン/1進化,ポケモン/1進化,ズルッグ,120,悪,草,,1,0,0,0,0,0,,,100,33.3,0,0,0,0,PROMO,158/SV-P,1,かっぱらう,●,,自分のベンチポケモンの数ぶんまで、自分の山札から好きなカードを選び、手札に加える。そして山札を切る。,とびひざげり,悪●●,100,,,,,
22,ヒポポタス,Hippopotas,ポケモン/たね,ポケモン/たね,,90,闘,草,,3,0,0,0,0,1,,,10,10.0,0,0,0,0,PROMO,186/SV-P,1,つきとばす,闘,10,相手のバトルポケモンをベンチポケモンと入れ替える。［バトル場に出すポケモンは相手が選ぶ。］,,,,,,,,
23,カバルドン,Hippowdon,ポケモン/1進化,ポケモン/1進化,ヒポポタス,160,闘,草,,4,0,0,0,0,0,,,150,50.0,0,0,0,0,PROMO,187/SV-P,1,ぶつかる,闘闘,60,,おおすなあらし,闘闘●,150,ダメカンがのっているおたがいのベンチポケモン全員にも、それぞれ40ダメージ。［ベンチは弱点・抵抗力を計算しない。］,,,,
24,ロケット団のガルーラex,Team Rocket's Kangaskhan ex,トレーナーのポケモン（ロケット団・サカキ）,ポケモン/たね,,230,無,闘,,2,1,0,0,0,1,,,120,40.0,0,0,0,0,PROMO,265/SV-P,1,れんぞくパンチ,●●,30×,コインを4回投げ、オモテの数×30ダメージ。,バッドインパクト,●●●,120,この番に、手札から、名前に「ロケット団」とつくサポートを出して使っていたなら、100ダメージ追加。,,,,
25,カイロス,Pinsir,ポケモン/たね,ポケモン/たね,,110,草,炎,,2,0,0,0,0,1,,,100,33.3,0,0,0,0,SV5a,003/066,1,スロークランチ,草●,,このポケモンについているエネルギーを、すべてトラッシュする。次の相手の番の終わりに、このワザを受けたポケモンは【きぜつ】する。,かいりきホーン,草●●,100,,,,,
26,リーフィア,Leafeon,ポケモン/1進化,ポケモン/1進化,イーブイ,120,草,炎,,1,0,0,0,0,0,,,70,35.0,0,0,0,0,MC,037/742,1,わかばのめぐみ,●,,自分の手札から「基本【草】エネルギー」を1枚選び、ベンチポケモンにつける。その後、つけたポケモンのHPをすべて回復する。,ソーラービーム,草●,70,,,,,
27,テツノイサハ,Iron Leaves,未来,ポケモン/たね,,120,草,炎,,1,0,0,0,0,1,,,100,33.3,0,0,0,0,SV5a,007/066,1,リカバーネット,草,,自分のトラッシュからポケモンを2枚まで選び、相手に見せて、手札に加える。,アベンジエッジ,草●●,100,前の相手の番に、ワザのダメージで、自分のポケモンが【きぜつ】していたなら、60ダメージ追加。,,,,
28,チャデス,Poltchageist,ポケモン/たね,ポケモン/たね,,30,草,炎,,1,0,0,0,0,1,くらがくれ,このポケモンは、ベンチにいるかぎり、相手のポケモンからワザのダメージや効果を受けない。,10,10.0,0,0,0,0,SV8a,017/187,1,ひっかける,草,10,,,,,,,,,
29,ヤバソチャex,Sinistcha ex,ポケモン/1進化,ポケモン/1進化,チャデス,240,草,炎,,1,1,0,0,0,0,,,120,60.0,0,0,0,0,MC,079/742,1,せんじがえし,●,,自分のトラッシュにある「基本【草】エネルギー」をすべて相手に見せ、その枚数×2個ぶんのダメカンを、相手のポケモン1匹にのせる。その後、見せたエネルギーを山札にもどして切る。,まっちゃスプラッシュ,草●,120,自分のポケモン全員のHPを、それぞれ「30」回復する。,,,,
30,マグカルゴex,Magcargo ex,テラスタル(ほのお),ポケモン/1進化,マグマッグ,270,炎,水,,3,1,0,0,1,0,,,140,46.7,0,0,0,0,MC,096/742,1,テラスタル,,,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。,あついマグマ,炎●,70,相手のバトルポケモンを【やけど】にする。,グラウンドバーン,炎炎●,140,おたがいの山札を上から1枚ずつトラッシュし、その中にあるエネルギーの枚数×140ダメージ追加。
31,イーユイ,Chi-Yu,ポケモン/たね,ポケモン/たね,,110,炎,水,,1,0,0,0,0,1,,,60,30.0,0,0,0,0,SV5a,018/066,1,ひきつける,●,,自分の山札を2枚引く。,グラウンドメルト,炎●,60,場にスタジアムが出ているなら、60ダメージ追加。その後、そのスタジアムをトラッシュする。,,,,
32,グレイシア,Glaceon,ポケモン/1進化,ポケモン/1進化,イーブイ,120,水,鋼,,1,0,0,0,0,0,,,70,35.0,0,0,0,0,SV8a,040/187,1,しみいるれいき,水,30,次の相手の番の終わりに、このワザを受けたポケモンにダメカンを9個のせる。,つららミサイル,水●,70,,,,,
33,ケロマツ,Froakie,ポケモン/たね,ポケモン/たね,,60,水,雷,,1,0,0,0,0,1,,,10,10.0,0,0,0,0,SV5a,023/066,1,むれる,水,,自分の山札から「ケロマツ」を2枚まで選び、ベンチに出す。そして山札を切る。,はねまわる,水,10,,,,,
34,ゲコガシラ,Frogadier,ポケモン/1進化,ポケモン/1進化,ケロマツ,90,水,雷,,1,0,0,0,0,0,,,20,20.0,0,0,0,0,SV5a,024/066,1,しびれみず,水,20,コインを1回投げオモテなら、相手のバトルポケモンを【マヒ】にする。,,,,,,,,
35,ウネルミナモ,Walking Wake,古代,ポケモン/たね,,130,水,雷,,1,0,0,0,0,1,,,20,20.0,0,0,0,0,MC,221/742,1,オーロラゲイン,水,20,このポケモンのHPを「20」回復する。,うねりさく,水水●,20×,このポケモンにダメカンを9個までのせ、のせた数×20ダメージ。,,,,
36,モルペコ,Morpeko,ポケモン/たね,ポケモン/たね,,70,雷,闘,,1,0,0,0,0,1,おやつさがし,自分の番に1回使える。自分の山札を上から1枚見て、もとにもどす。のぞむなら、そのカードをトラッシュする。,0,0.0,0,0,0,0,MC,270/742,1,ひろってつける,雷,,自分のトラッシュから基本エネルギーを2枚まで選び、自分のポケモンに好きなようにつける。,,,,,,,,
37,テツノイバラex,Iron Thorns ex,未来,ポケモン/たね,,230,雷,闘,,4,1,0,0,0,1,イニシャライズ,このポケモンがバトル場にいるかぎり、おたがいの場の「ルールを持つポケモン」（「未来」のポケモンをのぞく）の特性は、すべてなくなる。,140,46.7,0,0,0,0,MC,282/742,1,ボルトサイクロン,雷●●,140,このポケモンについているエネルギーを1個選び、ベンチポケモンにつけ替える。,,,,,,,,
38,キリンリキ,Girafarig,ポケモン/たね,ポケモン/たね,,100,超,悪,闘,1,0,0,0,0,1,,,30,30.0,0,0,0,0,MC,301/742,1,どっちもヘッド,●,30,自分のベンチポケモン1匹にも、10ダメージ。［ベンチは弱点・抵抗力を計算しない。］,,,,,,,,
39,ラブトロス,Enamorus,ポケモン/たね,ポケモン/たね,,120,超,鋼,,1,0,0,0,0,1,,,80,30.0,0,0,0,0,MC,346/742,1,ハートサイン,●,30,,ラブレゾナンス,超●●,80,自分の場に、相手の場のポケモンと同じタイプのポケモンがいるなら、120ダメージ追加。,,,,
40,ゲッコウガex,Greninja ex,テラスタル(かくとう),ポケモン/2進化,ゲコガシラ,310,闘,超,,1,1,0,0,1,0,,,170,170.0,0,0,0,0,SV5a,045/066,1,テラスタル,,,このポケモンは、ベンチにいるかぎり、ワザのダメージを受けない。,しのびのやいば,水,170,のぞむなら、自分の山札から好きなカードを1枚選び、手札に加える。そして山札を切る。,ぶんしんれんだ,水●●,,このポケモンについているエネルギーを2個トラッシュし、相手のポケモン2匹に、それぞれ120ダメージ。［ベンチは弱点・抵抗力を計算しない。］
41,ディンルー,Ting-Lu,ポケモン/たね,ポケモン/たね,,140,闘,草,,3,0,0,0,0,1,,,110,36.7,0,0,0,0,SV5a,047/066,1,グラウンドクラック,闘,30,場にスタジアムが出ているなら、相手のベンチポケモン全員にも、それぞれ30ダメージを与え、そのスタジアムをトラッシュする。［ベンチは弱点・抵抗力を計算しない。］,ぶちかます,闘闘●,110,,,,,
